name,duration(s),label,notes,spectral slope,spectral roll off,F0,pitch range,max_jump,jitter,shimmer,energy,max intensity,intensity,harmocity,thoughts spectral,speaker
vad2,0.665328798,1,"wife, mostly music quick whisper",-3.75E-05,692.8982205,478.3694597,52.99289587,0.051227269,,,3.01E-06,67.85294489,40.96768726,0.329735778,,3
vad10,2.116077098,1,husband,-8.01E-05,1567.529297,137.9225512,511.2637276,0.079878757,0.029182682,0.189843129,2.42E-05,73.97769738,44.91906025,2.870472256,,1
vad12,0.315147392,1,wife,-0.000185377,614.445613,229.3671301,405.3134666,,0.019317271,0.211584716,8.07E-06,75.83641228,48.70651832,3.189839892,,3
full,3.461723356,1,both,-7.78E-05,1196.635075,147.4809294,511.4335717,0.431394981,0.026461414,0.192357018,3.70E-05,75.83641663,44.61031485,2.852509528,,NA
