name,duration(s),label,notes,spectral slope,spectral roll off,F0,pitch range,max_jump,jitter,shimmer,energy,max intensity,intensity,harmocity,thoughts spectral,speaker
vad0,3.375895692,3,"her gasping him yelling, slap?, maybe somwhat seperable?",-0.009562175,998.6126326,375.2891074,377.913275,2.428261293,0.040781603,0.185230816,0.005056439,101.4985731,66.10948808,1.856951692,,1
vad2,0.835238095,3,wife gasp,-0.003323256,723.6911147,511.5026735,456.2371876,2.904930423,0.104974104,0.193811216,0.00039219,90.84820085,61.12158174,2.903500569,,3
vad4,0.245056689,3,"wife short gasp, arousal?",-0.00137945,705.6884766,,,,,,4.02E-05,82.89581222,56.8526325,0.037009457,too short for pitch?,3
vad6,0.455124717,3,wife gasp,-0.00360905,682.8283361,105.6870079,427.3190552,,0.088961025,0.259678047,0.000191503,87.43310791,60.55697445,1.345438553,,3
vad8,1.035283447,3,wife cry,-0.003760785,1165.233198,312.9376787,305.0822075,2.514686277,0.026035296,0.185522952,0.000565213,92.23975197,61.60682851,6.364845072,,3
full,5.946598639,3,"both, him not has high level as her",-0.006877505,954.9358376,378.1612658,523.6791669,2.330085766,0.048390844,0.19169259,0.006245524,101.4985731,64.54964611,2.888138328,,NA
