name,duration(s),label,notes,spectral slope,spectral roll off,F0,pitch range,max_jump,jitter,shimmer,energy,max intensity,intensity,harmocity,thoughts spectral,speaker
vad2,1.455736961,1,husband,-0.0001045,2076.042501,77.14741589,518.278192,0.11178142,0.015144674,0.164096426,3.19E-05,76.99105665,47.80179971,3.49905145,,1
vad10,1.265623583,1,wife,-7.47E-05,1360.935585,81.53118745,525.0124076,0.689213932,0.020794508,0.215310849,1.35E-05,73.24715385,44.66796436,4.565516917,,3
full,3.081519274,1,both,-8.85E-05,1583.488186,80.3835825,524.9366739,0.413733093,0.018416621,0.189665151,4.81E-05,76.99103672,46.23460306,3.991445577,,NA
