name,duration(s),label,notes,spectral slope,spectral roll off,F0,pitch range,max_jump,jitter,shimmer,energy,max intensity,intensity,harmocity,thoughts spectral,speaker
vad2,1.425714286,1,husband,-0.000159848,1381.347656,116.6390713,48.04892982,0.314993203,0.014062895,0.169980438,2.98E-05,77.19140117,47.58471588,3.186177283,,1
vad16,1.155600907,1,husband,-0.000137857,1164.361769,132.9043028,515.9108671,0.362466847,0.03057789,0.151775719,2.06E-05,77.50951483,46.89965667,2.235177327,,1
vad22,3.086575964,1,husband,-0.000106004,940.675797,139.5613699,438.2330207,0.635022265,0.039342541,0.228115031,4.05E-05,77.05025672,45.49534564,1.405059501,,1
full,6.993628118,1,all husband,-0.000107587,1233.966793,127.0593406,524.8726832,0.728247029,0.02775618,0.201585923,9.57E-05,77.50951502,45.66905577,2.176846874,,NA
